rabi_rate,azimuthal_angle,detuning,duration,maximum_rabi_rate
0.0,0.0,0.0,4.999999999999999e-07,6283185.307179586
0.0,0.0,3.141592653589793,2.4999999999999994e-07,6283185.307179586
0.0,0.0,0.0,9.999999999999997e-07,6283185.307179586
0.0,0.0,3.141592653589793,2.4999999999999994e-07,6283185.307179586
0.0,0.0,0.0,2.5000000000000015e-07,6283185.307179586
1.0,0.0,0.0,5.000000000000003e-07,6283185.307179586
0.0,0.0,0.0,8.749999999999997e-07,6283185.307179586
0.0,0.0,3.141592653589793,2.499999999999997e-07,6283185.307179586
0.0,0.0,0.0,2.2500000000000005e-06,6283185.307179586
0.0,0.0,3.141592653589793,2.499999999999993e-07,6283185.307179586
0.0,0.0,0.0,8.750000000000001e-07,6283185.307179586
1.0,0.0,0.0,4.999999999999994e-07,6283185.307179586
0.0,0.0,0.0,2.50000000000001e-07,6283185.307179586
0.0,0.0,3.141592653589793,2.499999999999993e-07,6283185.307179586
0.0,0.0,0.0,1.0000000000000023e-06,6283185.307179586
0.0,0.0,3.141592653589793,2.499999999999993e-07,6283185.307179586
0.0,0.0,0.0,5.000000000000003e-07,6283185.307179586